,year,site_number,N_mean,N_se,N_q025,N_q05,N_median,N_q95,N_q975,site_id,site_name,lat,lon,img_lat_mean,img_lon_mean,ccamlr_reg,ice_reg,p_ice_reg,MPA_current_name,MPA_proposed_name,in_MPA_current,in_MPA_any
27,2003,6,6504.007528,3067.924984,1877.360629,2663.350908,6056.479989,11950.32222,13726.07676,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
28,2003,7,12745.45681,3988.740713,5917.464284,7399.8444,12490.38304,19450.51701,21214.32921,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
29,2004,1,1290.154131,214.2379017,907.6718261,966.3271203,1276.535347,1661.613918,1757.443912,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
30,2004,2,14417.05558,5220.23353,6136.109021,7879.138834,13866.22158,23404.5002,26239.13983,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
31,2004,3,25509.81244,7281.690555,13724.48539,16261.30657,24955.88485,37699.25811,40896.58468,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
32,2004,4,418.2145382,85.95857745,270.698158,290.0938973,411.2171881,569.836801,608.093621,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
33,2004,5,4190.18558,697.6119049,3002.627265,3162.082475,4131.866962,5429.887559,5754.613904,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
34,2004,6,6393.363577,2709.957438,2017.189531,2901.988909,6063.013426,11131.30042,12730.91047,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
35,2004,7,13018.61185,2666.483819,8537.977767,9144.746826,12756.34832,17756.10007,18990.79127,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
36,2005,1,1383.938909,195.2272095,1044.349081,1095.371678,1366.645562,1727.700616,1811.733211,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
37,2005,2,14772.20309,3889.476338,9012.617784,9674.17222,14173.30565,21847.68728,24018.26992,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
38,2005,3,26183.42346,4429.006344,18832.59778,19822.60867,25728.75217,34084.77582,36065.63207,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
39,2005,4,433.8961616,84.32094611,291.0211682,309.2155382,425.7726072,582.8813213,617.395983,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
40,2005,5,4434.464211,642.8830728,3317.992229,3474.3777,4383.895759,5578.814828,5842.100121,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
41,2005,6,6300.572037,2361.867477,2312.886679,3162.94031,6079.846583,10312.15175,11552.39187,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
42,2005,7,13379.99712,2292.65797,9624.850113,10123.90093,13115.84445,17508.27995,18563.66875,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
43,2006,1,1418.411293,204.5387791,1071.559688,1118.157708,1400.579336,1783.395641,1873.363142,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
44,2006,2,14348.13304,3774.93236,8342.271999,9100.325399,13896.57495,21220.65728,23041.6479,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
45,2006,3,26294.34672,4028.981091,19520.08878,20447.21695,25918.85988,33522.10014,35235.6739,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
46,2006,4,475.9471078,85.22367073,327.9899478,348.4984277,469.5290562,625.459054,661.2960085,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
47,2006,5,4857.745892,791.3483082,3545.337052,3725.80442,4769.833876,6278.748251,6658.066973,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
48,2006,6,6221.00312,1999.406739,2778.167873,3532.473229,6099.057457,9613.293852,10524.63794,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
49,2006,7,13892.35597,2113.698958,10405.266,10854.08297,13667.98602,17714.31174,18650.03232,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
50,2007,1,1318.137523,214.0227346,942.0112141,996.4947124,1300.895672,1694.069776,1791.283596,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
51,2007,2,14584.142,4153.504341,7551.677034,9105.898654,14396.80731,21371.47433,23131.88262,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
52,2007,3,24856.25188,4007.488201,18087.92957,19021.98323,24466.28958,32007.29522,33803.54092,COUL,Coulman Island,-73.35,169.61,-73.35,152.649,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
53,2007,4,539.8044972,93.90369374,374.6203927,397.7916628,534.0973209,701.6575304,740.3940777,CROZ,Cape Crozier,-77.46,169.32,-77.46,112.88,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
54,2007,5,4772.043447,799.4161291,3395.076669,3588.415871,4703.721422,6173.865258,6551.50279,FRAN,Franklin Island,-76.18,168.43,-76.18,147.37625,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
55,2007,6,6256.628749,1369.39033,3954.628445,4266.790942,6118.129006,8717.740332,9324.821756,ROGE,Cape Roget,-71.99,170.59,-71.99,136.472,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
56,2007,7,13521.22565,2208.272332,9840.986516,10333.28734,13298.5982,17510.87169,18541.16349,WASH,Cape Washington,-74.64,165.37,-74.64,0,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
57,2008,1,1318.90344,216.2606505,944.4431359,996.9085708,1300.696239,1701.72183,1797.142919,BEAN,Beaufort Island,-76.94,167.02,-76.94,146.1425,Subarea 88.1,Victoria Oates Land,Ross,Ross,NA,yes,yes
58,2008,2,15348.45386,3189.267093,10082.43147,10746.85699,15002.49073,21062.52022,22544.03001,CBEK,Cape Colbeck,-77.135,-157.715,-77.135,-131.4166667,Subarea 88.2,Amundsen Sea,Ross,Ross,NA,yes,yes
