"Region","Prob_Decline","Prob_30percent_Decline","Prob_50percent_Decline","2.5%","5%","50%","95%","97.5%","mean","SE"
"Bell-Amundsen",0.5178,0.0393,3e-04,-32.8374985766337,-28.5055821878893,-0.844033352711644,42.4914685485127,54.172587930702,2.06951405244736,22.5529289745158
"Indian",0.9272,0.554466666666667,0.125166666666667,-60.1271050952263,-56.3216365044653,-32.4765637232051,5.61243115587735,16.7135338942423,-29.7132446371958,19.9000684135893
"Pacific",0.6882,0.241666666666667,0.0264333333333333,-50.3252950146965,-46.1964103130953,-14.3215179873885,51.1530964474702,72.0420721012556,-7.81746171428021,32.960706892036
"Ross",0.567366666666667,0.0728666666666667,0.0022,-37.3754926717199,-32.9322104436735,-3.67744514019019,41.9111573742325,54.721038489289,-0.593840730831488,23.6117315265433
"Weddell",0.797333333333333,0.0328666666666667,0,-31.0229499246982,-28.0037409640335,-10.4304491732317,11.6828970371706,16.3452320862313,-9.60192883412632,12.1470440047014
