"Region","Prob_Decline","Prob_30percent_Decline","Prob_50percent_Decline","2.5%","5%","50%","95%","97.5%","mean","SE"
"Amundsen Sea",0.560866666666667,0.202866666666667,0.0512666666666667,-57.5260353199831,-50.2496876055338,-5.57849402981833,79.3868214667721,106.458542439523,2.22600423148802,41.9793856112823
"Australia",0.749633333333333,0.5129,0.277033333333333,-80.7437490110606,-74.3047058206881,-31.1658881155074,78.6173327434106,119.033793642564,-18.1375022192575,54.7076842718528
"Bellingshausen Sea",0.2729,0.0113666666666667,0.000133333333333333,-25.0780727812669,-19.8473631242013,13.5383156811643,61.3686304964856,73.8126859716626,16.2133001809736,25.2382028303776
"Dronning Maud Land",0.2436,0.0099,0.000166666666666667,-23.5306205926226,-18.1483932733374,15.6419624756693,61.6929666169334,73.3366000653308,17.8291396570518,24.7171997287797
"East Indian Ocean",0.942633333333333,0.8219,0.573366666666667,-76.8370835208727,-74.3248143849917,-53.7391012280544,4.29020351955527,26.769189103831,-46.2505645428924,31.9414807806223
"Victoria Oates Land",0.455233333333333,0.0180666666666667,2e-04,-28.3387837648805,-24.0642660082963,1.96633358748856,35.9540814207563,43.9630621680486,3.48559096947924,18.5129514467626
"Weddell Sea",0.8945,0.2424,0.006,-44.2269205795755,-41.0418225651541,-20.6226980674317,7.83929902456734,14.7260683403963,-19.1076444536376,15.1463070199883
"West Indian Ocean",0.886033333333333,0.515,0.140566666666667,-62.8361876125856,-58.3628805588756,-30.8404723972697,15.3962349614195,28.493385957749,-27.343507546337,23.7513193872111
