"Region","2.5%","5%","50%","95%","97.5%","mean","prob_negative","SE"
"Amundsen Sea",-0.0849878674412276,-0.0736468755376014,-0.0158508459125702,0.0476854162979484,0.0601913618389519,-0.0147458695448789,0.668433333333333,0.0368435242147616
"Australia",-0.143137687637104,-0.12710171362592,-0.0368155572354223,0.067158281835434,0.0886684112079635,-0.0340901576999423,0.7307,0.0592797220432941
"Bellingshausen Sea",-0.0239647830986133,-0.0164790646465496,0.0197613990283384,0.0561477638385781,0.0635174316097961,0.0197455541530273,0.182633333333333,0.0221762088599659
"Dronning Maud Land",-0.0178484186349577,-0.0106750601509972,0.023383323036724,0.0579728927062915,0.0642731941294165,0.0235056857949549,0.130633333333333,0.0209405826024943
"East Indian Ocean",-0.153288351076644,-0.142427403758924,-0.0839678770271516,0.00335455065955049,0.0269787337301297,-0.0787247168361984,0.944633333333333,0.0455643779138224
"Victoria Oates Land",-0.0388717443281324,-0.0334568995424375,-0.003797675263707,0.0270245248982191,0.0332393611139515,-0.00355562028919847,0.583366666666667,0.0184320856720969
"Weddell Sea",-0.0755959630436274,-0.0693519738105249,-0.0389780865906008,-0.00678058712036831,0.000342228839565757,-0.0385999729404193,0.974233333333333,0.0191740770370241
"West Indian Ocean",-0.0751128855373649,-0.0661347238278859,-0.0169720790172769,0.0373676075285344,0.0486365495180013,-0.0161294949768975,0.707266666666667,0.0316167678137472
