"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"prob_occ",0.960293151899237,0.00976929244996827,0.939317235207079,0.95419017748536,0.961038770702586,0.967222708099321,0.977304214605088,0.999992198627821,30000,0,1
"r_mean_grandmean_mu",-0.0325431060868434,0.0205192587128785,-0.0731801672226225,-0.0461842774307893,-0.0323814050261377,-0.0186650677109804,0.00725365906233337,1.00014079398195,17204,1,0.946333333333333
"r_mean_grandmean_sigma",0.0400355360180344,0.0151379612126358,0.0184197449982631,0.0289323940947654,0.0373255899314767,0.0484858945282132,0.0762555026796049,0.999989789843524,30000,0,1
"logX1_mean",8.06672697155398,0.186021906411359,7.69882299881926,7.94298327841188,8.06587395176567,8.19164056638349,8.43361443352532,0.999968019370405,30000,0,1
"logX1_sigma",1.15841775161625,0.13256118194964,0.927885517968742,1.06532941814686,1.14939005244101,1.23975233197961,1.44696011769883,1.00004638339607,21739,0,1
"r_sigma",0.349814327619214,0.0399931029333219,0.274405744801384,0.321972956059949,0.348981584781393,0.376187081822266,0.431843709701088,0.999993108793581,30000,0,1
"DoS_slope",-0.00366057616596975,0.00109830738367581,-0.00579800602331393,-0.00440799885988827,-0.00366361472205106,-0.00292354406476708,-0.00148747246990277,1.00001995619438,30000,0,0.9994
"aerial_sigma",0.436944753135684,0.0356773867357141,0.372985172445364,0.411901227995522,0.434745052237269,0.459986508863092,0.512311980885718,1.00001572423064,30000,0,1
"sat_slope[1]",0.877669991875456,0.0762842167095074,0.736523950686831,0.824737227012476,0.874944112433172,0.927331173356707,1.03453847601381,1.00013713449346,11375,0,1
"sat_slope[2]",0.886058942946904,0.0758036685304004,0.743807639970949,0.833945743969033,0.883893830689633,0.935668942852451,1.04109388002908,1.00032886171994,6168,0,1
"sat_slope[3]",1.06990219879761,0.0835348723232065,0.912326790796654,1.01300482506023,1.06773969968301,1.12467971878351,1.23832837083744,1.00049456003674,5624,0,1
"sat_CV[1]",0.420250375071012,0.0477760964176855,0.335868179731367,0.386823539550324,0.41686746610456,0.449930363070271,0.522832504506533,1.00010421984272,18556,0,1
"sat_CV[2]",0.494135672657156,0.0420620470510975,0.419692890507244,0.464823836017262,0.491229879292651,0.520584222102085,0.584485734326169,1.00010579714545,14284,0,1
"sat_CV[3]",0.348312647978829,0.0298732797310064,0.292973065565221,0.327817932819998,0.347131987992739,0.367507125457084,0.410538366786495,1.00001606199591,30000,0,1
